abs: float|int|null
lcg_value: float|null
levenshtein: int|null
libxml_clear_errors: null
libxml_disable_entity_loader: bool|null
libxml_get_errors: array|null
libxml_get_last_error: false|null
libxml_set_external_entity_loader: null|true
libxml_set_streams_context: null
libxml_use_internal_errors: bool|null
link: bool|null
linkinfo: false|int|null
locale_accept_from_http: false|string
locale_canonicalize: null
locale_compose: false|string
locale_filter_matches: bool|null
locale_get_all_variants: array|false|null
locale_get_default: string
locale_get_display_language: null
locale_get_display_name: null
locale_get_display_region: null
locale_get_display_script: null
locale_get_display_variant: null
locale_get_keywords: array|false|null
locale_get_primary_language: null
locale_get_region: null
locale_get_script: null
locale_lookup: false|null|string
locale_parse: array|false|null
locale_set_default: bool
localtime: array|false
log: false|float|null
log10: float|null
log1p: float|null
long2ip: false|null|string
mail: bool|null
memory_get_peak_usage: false|int
memory_get_usage: false|int
metaphone: false|null|string
microtime: null
mktime: null
move_uploaded_file: bool
msg_queue_exists: bool|null
msg_receive: bool
msg_remove_queue: bool|null
msg_send: bool
msg_set_queue: bool
msg_stat_queue: array|false
msgfmt_create: null
msgfmt_format: false|null
msgfmt_format_message: false|null
msgfmt_get_error_code: false|int
msgfmt_get_error_message: false|string
msgfmt_get_locale: false|string
msgfmt_get_pattern: false|string
msgfmt_parse: false|null
msgfmt_parse_message: false|null
msgfmt_set_pattern: bool
mt_getrandmax: int|null
mt_rand: false|int
mt_srand: null
mysqli_affected_rows: false|int|null|string
mysqli_autocommit: bool|null
mysqli_begin_transaction: bool|null
mysqli_change_user: bool|null
mysqli_character_set_name: false|null|string
mysqli_close: bool|null
mysqli_commit: bool|null
mysqli_connect: null
mysqli_connect_errno: int
mysqli_connect_error: null|string
mysqli_data_seek: bool|null
mysqli_debug: null|true
mysqli_driver_construct: null
mysqli_dump_debug_info: bool|null
mysqli_errno: false|int|null
mysqli_error: false|null|string
mysqli_error_list: array|false|null
mysqli_fetch_all: false|null
mysqli_fetch_array: null
mysqli_fetch_assoc: null
mysqli_fetch_field: false|null
mysqli_fetch_field_direct: false|null
mysqli_fetch_fields: array|false|null
mysqli_fetch_lengths: array|false|null
mysqli_fetch_object: null
mysqli_fetch_row: null
mysqli_field_count: false|int|null
mysqli_field_seek: bool|null
mysqli_field_tell: false|int|null
mysqli_free_result: false|null
mysqli_get_charset: false|null
mysqli_get_client_info: null|string
mysqli_get_client_stats: null
mysqli_get_client_version: int
mysqli_get_connection_stats: false|null
mysqli_get_host_info: false|null|string
mysqli_get_links_stats: array|null
mysqli_get_proto_info: false|int|null
mysqli_get_server_info: false|null|string
mysqli_get_server_version: false|int|null
mysqli_get_warnings: false|null|object
mysqli_info: false|null|string
mysqli_init: null
mysqli_init_method: null
mysqli_insert_id: false|int|null|string
mysqli_kill: bool|null
mysqli_link_construct: null
mysqli_more_results: bool|null
mysqli_multi_query: bool|null
mysqli_next_result: bool|null
mysqli_num_fields: false|int|null
mysqli_num_rows: false|int|null|string
mysqli_options: bool|null
mysqli_ping: bool|null
mysqli_poll: false|int|null
mysqli_prepare: false|null|object
mysqli_query: bool|null|object
mysqli_real_connect: null
mysqli_real_escape_string: false|null|string
mysqli_real_query: bool|null
mysqli_reap_async_query: bool|null|object
mysqli_refresh: bool|null
mysqli_release_savepoint: bool|null
mysqli_report: null|true
mysqli_result_construct: false|null
mysqli_rollback: bool|null
mysqli_savepoint: bool|null
mysqli_select_db: bool|null
mysqli_set_charset: bool|null
mysqli_sqlstate: false|null|string
mysqli_ssl_set: bool|null
mysqli_stat: false|null|string
mysqli_stmt_affected_rows: false|int|null|string
mysqli_stmt_attr_get: false|int|null
mysqli_stmt_attr_set: bool|null
mysqli_stmt_bind_param: bool|null
mysqli_stmt_bind_result: bool|null
mysqli_stmt_close: bool|null
mysqli_stmt_construct: false|null
mysqli_stmt_data_seek: false|null
mysqli_stmt_errno: false|int|null
mysqli_stmt_error: false|null|string
mysqli_stmt_error_list: array|false|null
mysqli_stmt_execute: bool|null
mysqli_stmt_fetch: null
mysqli_stmt_field_count: false|int|null
mysqli_stmt_free_result: false|null
mysqli_stmt_get_result: false|null|object
mysqli_stmt_get_warnings: false|null|object
mysqli_stmt_init: false|null|object
mysqli_stmt_insert_id: false|int|null|string
mysqli_stmt_more_results: bool|null
mysqli_stmt_next_result: bool|null
mysqli_stmt_num_rows: false|int|null|string
mysqli_stmt_param_count: false|int|null
mysqli_stmt_prepare: bool|null
mysqli_stmt_reset: bool|null
mysqli_stmt_result_metadata: false|null|object
mysqli_stmt_send_long_data: bool|null
mysqli_stmt_sqlstate: false|null|string
mysqli_stmt_store_result: bool|null
mysqli_store_result: false|null|object
mysqli_thread_id: false|int|null
mysqli_thread_safe: true
mysqli_use_result: false|null|object
mysqli_warning_count: false|int|null
natcasesort: null
natsort: null
net_get_interfaces: array|false|null
normalizer_is_normalized: bool
normalizer_normalize: false|null|string
number_format: null|string
numfmt_create: null
numfmt_format: false|string
numfmt_format_currency: false|null|string
numfmt_get_attribute: false|float|int|null
numfmt_get_error_code: false|int
numfmt_get_error_message: false|string
numfmt_get_locale: false|string
numfmt_get_pattern: false|string
numfmt_get_symbol: false|string
numfmt_get_text_attribute: false|string
numfmt_parse: false|float|int
numfmt_parse_currency: false|float
numfmt_set_attribute: bool
numfmt_set_pattern: bool
numfmt_set_symbol: bool
numfmt_set_text_attribute: bool
octdec: null
opcache_compile_file: bool|null
opcache_get_configuration: array|false
opcache_get_status: array|false|null
opcache_invalidate: bool|null
opcache_is_script_cached: bool
opcache_reset: bool
openlog: bool|null
pack: false|null|string
parse_ini_file: array|false
parse_ini_string: array|false
parse_url: array|false|int|null|string
password_algos: array|null
password_get_info: array|null
password_hash: null|string
password_needs_rehash: bool|null
password_verify: bool|null
pcntl_alarm: int|null
pcntl_async_signals: bool
pcntl_exec: false|null
pcntl_fork: int
pcntl_get_last_error: int
pcntl_getpriority: false|int
pcntl_setpriority: bool
pcntl_signal: bool|null
pcntl_signal_dispatch: true
pcntl_signal_get_handler: false|int|null
pcntl_sigprocmask: bool|null
pcntl_strerror: false|string
pcntl_unshare: bool|null
pcntl_wait: int|null
pcntl_waitpid: int|null
pcntl_wexitstatus: false
pcntl_wifcontinued: false
pcntl_wifexited: false
pcntl_wifsignaled: false
pcntl_wifstopped: false
pcntl_wstopsig: false
pcntl_wtermsig: false
pdo_drivers: array|null
pfsockopen: null
php_ini_loaded_file: false|null|string
php_ini_scanned_files: false|null|string
php_sapi_name: false|null|string
php_strip_whitespace: false|null|string
php_uname: null|string
phpcredits: null|true
phpinfo: null|true
phpversion: false|null|string
pi: float
pow: null
preg_filter: null
preg_grep: false|null
preg_last_error: int|null
preg_match: null
preg_match_all: null
preg_quote: null|string
preg_replace: null
preg_replace_callback: null|string
preg_split: false|null
print_r: bool|null|string
putenv: bool|null
quoted_printable_decode: null|string
quoted_printable_encode: null|string
rad2deg: float|null
rand: int
random_bytes: null|string
random_int: int|null
range: array|false|null
rawurldecode: null|string
rawurlencode: null|string
readlink: false|null|string
register_shutdown_function: false|null
register_tick_function: bool|null
resourcebundle_count: false|int
resourcebundle_create: null
resourcebundle_get: false|null
resourcebundle_get_error_code: false|int
resourcebundle_get_error_message: false|string
resourcebundle_locales: array|false
restore_include_path: null
round: false|float|null
rsort: bool
sem_acquire: null
sem_get: false|resource
sem_release: null
sem_remove: bool|null
serialize: false|null|string
session_abort: bool|null
session_cache_expire: false|int|null
session_cache_limiter: false|null|string
session_create_id: false|null|string
session_decode: bool|null
session_destroy: bool|null
session_encode: false|null|string
session_gc: false|int|null
session_get_cookie_params: array|null
session_id: false|null|string
session_module_name: false|null|string
session_name: false|null|string
session_regenerate_id: bool|null
session_register_shutdown: null
session_reset: bool|null
session_save_path: false|null|string
session_set_cookie_params: bool|null
session_set_save_handler: bool
session_start: bool
session_status: int|null
session_unset: bool|null
session_write_close: bool|null
set_include_path: false|null|string
setcookie: bool|null
setrawcookie: bool|null
settype: bool|null
sha1: null|string
sha1_file: false|null|string
shm_attach: false|null|resource
shm_detach: bool|null
shm_get_var: false|null
shm_has_var: bool|null
shm_put_var: bool|null
shm_remove: bool|null
shm_remove_var: bool|null
shmop_close: null
shmop_delete: bool|null
shmop_open: false|null|resource
shmop_read: false|null|string
shmop_size: int|null
shmop_write: false|int|null
shuffle: bool
simplexml_import_dom: null|object
simplexml_load_file: false|null|object
simplexml_load_string: false|null|object
sin: float|null
sinh: float|null
sleep: false|int
sort: bool
soundex: false|null|string
spl_autoload: false|null
spl_autoload_call: null
spl_autoload_extensions: null|string
spl_autoload_functions: array|false|null
spl_autoload_register: bool|null
spl_autoload_unregister: bool|null
spl_classes: array
spl_object_hash: null|string
spl_object_id: int|null
sqrt: float|null
stream_bucket_append: null
stream_bucket_make_writeable: false|null
stream_bucket_new: false|null
stream_bucket_prepend: null
stream_filter_register: bool
stream_get_filters: array|null
strftime: null
strptime: array|false|null
strtotime: false|int|null
strval: null|string
symlink: bool|null
sys_getloadavg: array|false|null
syslog: null|true
tan: float|null
tanh: float|null
time: int|null
time_nanosleep: array|bool|null
time_sleep_until: bool|null
timezone_abbreviations_list: array
timezone_identifiers_list: array|false
timezone_location_get: array|false
timezone_name_from_abbr: false|null|string
timezone_name_get: false|null
timezone_offset_get: false|int
timezone_open: false|null
timezone_transitions_get: array|false
timezone_version_get: string
transliterator_create: null
transliterator_create_from_rules: null
transliterator_create_inverse: false|null
transliterator_get_error_code: false|int
transliterator_get_error_message: false|string
transliterator_list_ids: array|false|null
transliterator_transliterate: false|null|string
uasort: null
uksort: null
uniqid: null|string
unixtojd: false|int|null
unpack: array|false|null
unregister_tick_function: null
urldecode: null|string
urlencode: null|string
use_soap_error_handler: bool
user_filter_nop: null
user_printf: false|int|null
user_sprintf: false|null|string
usleep: false|null
usort: null
var_dump: null
var_export: null|string
version_compare: bool|int|null
vfprintf: false|int|null
vprintf: false|int|null
vsprintf: false|null|string
xml_error_string: null|string
xml_get_current_byte_index: int|null
xml_get_current_column_number: int|null
xml_get_current_line_number: int|null
xml_get_error_code: int|null
xml_parse: int|null
xml_parse_into_struct: int|null
xml_parser_create: null
xml_parser_create_ns: null
xml_parser_free: bool|null
xml_parser_get_option: false|int|null|string
xml_parser_set_option: bool|null
xml_set_character_data_handler: null|true
xml_set_default_handler: null|true
xml_set_element_handler: null|true
xml_set_end_namespace_decl_handler: null|true
xml_set_external_entity_ref_handler: null|true
xml_set_notation_decl_handler: null|true
xml_set_object: null|true
xml_set_processing_instruction_handler: null|true
xml_set_start_namespace_decl_handler: null|true
xml_set_unparsed_entity_decl_handler: null|true
xmlwriter_end_attribute: null
xmlwriter_end_cdata: null
xmlwriter_end_comment: null
xmlwriter_end_document: null
xmlwriter_end_dtd: null
xmlwriter_end_dtd_attlist: null
xmlwriter_end_dtd_element: null
xmlwriter_end_dtd_entity: null
xmlwriter_end_element: null
xmlwriter_end_pi: null
xmlwriter_flush: null
xmlwriter_full_end_element: null
xmlwriter_open_memory: bool|null|resource
xmlwriter_open_uri: bool|null|resource
xmlwriter_output_memory: null
xmlwriter_set_indent: bool|null
xmlwriter_set_indent_string: null
xmlwriter_start_attribute: null
xmlwriter_start_attribute_ns: bool|null
xmlwriter_start_cdata: bool
xmlwriter_start_comment: bool
xmlwriter_start_document: bool|null
xmlwriter_start_dtd: bool|null
xmlwriter_start_dtd_attlist: null
xmlwriter_start_dtd_element: null
xmlwriter_start_dtd_entity: bool|null
xmlwriter_start_element: null
xmlwriter_start_element_ns: bool|null
xmlwriter_start_pi: null
xmlwriter_text: null
xmlwriter_write_attribute: bool|null
xmlwriter_write_attribute_ns: bool|null
xmlwriter_write_cdata: null
xmlwriter_write_comment: null
xmlwriter_write_dtd: bool|null
xmlwriter_write_dtd_attlist: bool|null
xmlwriter_write_dtd_element: bool|null
xmlwriter_write_dtd_entity: bool|null
xmlwriter_write_element: bool|null
xmlwriter_write_element_ns: bool|null
xmlwriter_write_pi: bool|null
xmlwriter_write_raw: null
zend_create_unterminated_string: null|string
zend_leak_bytes: null
zend_leak_variable: null
zend_terminate_string: null
zend_test_array_return: null
zend_test_func: null|string
zend_test_nullable_array_return: null
zend_test_void_return: null
Missing function array_rand: array|int|null|string
Missing function cal_days_in_month: false|int|null
Missing function cal_from_jd: array|false|null
Missing function cal_info: array|false|null
Missing function cal_to_jd: false|int|null
Missing function ceil: float|null
Missing function class_implements: array|false
Missing function class_parents: array|false
Missing function class_uses: array|false
Missing function closelog: null|true
Missing function collator_asort: null
Missing function collator_compare: false|int
Missing function collator_create: null
Missing function collator_get_attribute: false|int
Missing function collator_get_error_code: false|int
Missing function collator_get_error_message: false|string
Missing function collator_get_locale: false|string
Missing function collator_get_sort_key: false|string
Missing function collator_get_strength: false|int
Missing function collator_set_attribute: bool
Missing function collator_set_strength: bool
Missing function collator_sort: null
Missing function collator_sort_with_sort_keys: bool
Missing function connection_aborted: int
Missing function connection_status: int
Missing function convert_cyr_string: null|string
Missing function count: int|null
Missing function crypt: null|string
Missing function date_default_timezone_get: null|string
Missing function datefmt_format: false|null
Missing function datefmt_get_datetype: false|int
Missing function datefmt_get_error_code: false|int
Missing function datefmt_get_error_message: false|string
Missing function datefmt_get_locale: false|string
Missing function datefmt_get_pattern: false|string
Missing function datefmt_get_timetype: false|int
Missing function datefmt_is_lenient: bool
Missing function datefmt_localtime: false|null
Missing function datefmt_parse: false|null
Missing function datefmt_set_lenient: false|null
Missing function datefmt_set_pattern: bool
Missing function debug_zval_dump: null
Missing function decbin: null|string
Missing function dechex: null|string
Missing function decoct: null|string
Missing function deg2rad: float|null
Missing function dl: false|null
Missing function dom_attr_is_id: bool|null
Missing function dom_characterdata_append_data: null|true
Missing function dom_characterdata_delete_data: bool|null
Missing function dom_characterdata_insert_data: bool|null
Missing function dom_characterdata_replace_data: bool|null
Missing function dom_characterdata_substring_data: false|null|string
Missing function dom_document_adopt_node: null
Missing function dom_document_create_attribute: false|null
Missing function dom_document_create_attribute_ns: false|null
Missing function dom_document_create_cdatasection: false|null
Missing function dom_document_create_comment: false|null
Missing function dom_document_create_document_fragment: false|null
Missing function dom_document_create_element: false|null
Missing function dom_document_create_element_ns: false|null
Missing function dom_document_create_entity_reference: false|null
Missing function dom_document_create_processing_instruction: false|null
Missing function dom_document_create_text_node: false|null
Missing function dom_document_get_element_by_id: null
Missing function dom_document_get_elements_by_tag_name: null
Missing function dom_document_get_elements_by_tag_name_ns: null
Missing function dom_document_import_node: false|null
Missing function dom_document_normalize_document: null
Missing function dom_document_relaxNG_validate_file: null
Missing function dom_document_relaxNG_validate_xml: null
Missing function dom_document_rename_node: null
Missing function dom_document_save: false|int|null
Missing function dom_document_save_html: false|null|string
Missing function dom_document_save_html_file: false|int|null
Missing function dom_document_savexml: false|null|string
Missing function dom_document_schema_validate_file: null
Missing function dom_document_schema_validate_xml: null
Missing function dom_document_validate: bool|null
Missing function dom_document_xinclude: false|int|null
Missing function dom_domconfiguration_can_set_parameter: null
Missing function dom_domconfiguration_get_parameter: null
Missing function dom_domconfiguration_set_parameter: null
Missing function dom_domerrorhandler_handle_error: null
Missing function dom_domimplementationlist_item: null
Missing function dom_domimplementationsource_get_domimplementation: null
Missing function dom_domimplementationsource_get_domimplementations: null
