abs: false|float|int
ftok: int
func_get_arg: mixed
func_get_args: array|false|probably-null
func_num_args: int|probably-null
function_exists: bool
gc_collect_cycles: int|probably-null
gc_disable: probably-null
gc_enable: probably-null
gc_enabled: bool|probably-null
gc_mem_caches: int|probably-null
gc_status: array|probably-null
get_browser: array|false|probably-null
get_called_class: false|probably-null|string
get_cfg_var: array|false|probably-null|string
get_class: false|probably-null|string
get_class_methods: array|null
get_class_vars: array|false|probably-null
get_current_user: probably-null|string
get_declared_classes: probably-null
get_declared_interfaces: probably-null
get_declared_traits: probably-null
get_defined_constants: array
get_defined_functions: array
get_defined_vars: array|probably-null
get_extension_funcs: array|false|probably-null
get_headers: array|false
get_html_translation_table: array
get_include_path: false|probably-null|string
get_included_files: array|probably-null
get_loaded_extensions: array
get_magic_quotes_gpc: false|probably-null
get_magic_quotes_runtime: false|probably-null
get_mangled_object_vars: array
get_object_vars: array|false|probably-null
get_parent_class: false|probably-null|string
get_resource_type: probably-null|string
get_resources: array|false|probably-null
getdate: array
getenv: array|false|string
getimagesize: probably-null
getimagesizefromstring: probably-null
getlastmod: false|int|probably-null
getmygid: false|int|probably-null
getmyinode: false|int|probably-null
getmypid: false|int|probably-null
getmyuid: false|int|probably-null
getopt: array|false
getprotobyname: false|int
getprotobynumber: false|string
getrusage: array|false
getservbyname: false|int
getservbyport: false|string
gettimeofday: probably-null
gettype: probably-null|string
gmdate: probably-null
gmmktime: probably-null
gmstrftime: probably-null
grapheme_extract: false|string
grapheme_stripos: false|int|probably-null
grapheme_stristr: probably-null
grapheme_strlen: false|int|null|probably-null
grapheme_strpos: false|int|probably-null
grapheme_strripos: false|int|probably-null
grapheme_strrpos: false|int|probably-null
grapheme_strstr: probably-null
grapheme_substr: false|string
gregoriantojd: int
hash: probably-null
hash_algos: array
hash_copy: false|object
hash_equals: bool
hash_file: probably-null
hash_final: null|probably-null|string
hash_hkdf: false|string
hash_hmac: probably-null
hash_hmac_algos: array
hash_hmac_file: probably-null
hash_init: false|probably-null
hash_pbkdf2: false|string
hash_update: null|true
hash_update_file: bool|null
hash_update_stream: false|int|null
header: probably-null
header_register_callback: bool
header_remove: probably-null
headers_list: array|probably-null
headers_sent: bool|probably-null
hexdec: false|probably-null
highlight_file: bool|probably-null
highlight_string: bool|probably-null
hrtime: false
html_entity_decode: false|string
htmlentities: probably-null
htmlspecialchars: probably-null
htmlspecialchars_decode: false|string
http_build_query: false|string
http_response_code: bool|int
